dataset,alpha,RR@10,nDCG@10,AP@100
ArguAna,0.96,0.22691243875454378,0.34425136501370124,0.2383212138670754
ArguAna,0.97,0.22674055634581922,0.344050566219867,0.2380619051615378
ArguAna,0.98,0.22630562893720757,0.34372162617831115,0.23763370109438842
ArguAna,0.99,0.22567708686129714,0.3430024594953849,0.23721457177378077
ArguAna,1.0,0.2256166881166878,0.34244214080697205,0.23698833560496818
NFCorpus,0.0,0.5426925156027322,0.32687518414813965,0.14706719482021344
NFCorpus,0.01,0.5433964813995773,0.3276454703902146,0.14761446989150306
NFCorpus,0.02,0.5404983045849918,0.3268114750734032,0.14734919346437178
NFCorpus,0.03,0.5404983045849918,0.3271523374658421,0.14746536013759132
NFCorpus,0.04,0.5410880141530295,0.3279638988007035,0.14782428924163277
NFCorpus,0.05,0.5397243107769423,0.32795498053737504,0.14765816333918538
NFCorpus,0.06,0.5412944125018427,0.32840838805646877,0.1478549107148306
NFCorpus,0.07,0.5422232050715022,0.32945390789464746,0.147980103339159
NFCorpus,0.08,0.5424590888987172,0.3298829860466656,0.14809635375164285
NFCorpus,0.09,0.5424590888987173,0.3300949469822125,0.1481929911844467
NFCorpus,0.1,0.5438657919308073,0.33088461362902366,0.14842162244205168
NFCorpus,0.11,0.547861074254263,0.33217027696665635,0.14880396986170016
NFCorpus,0.12,0.5469285959998035,0.33229043315645496,0.14920070685501316
NFCorpus,0.13,0.5476202761806477,0.3325407302528924,0.14940380383676916
NFCorpus,0.14,0.5469494815470048,0.3328300095656973,0.14984621538188858
NFCorpus,0.15,0.5456594918669223,0.33287542546541005,0.14988096129046502
NFCorpus,0.16,0.547797189051059,0.33283800001087116,0.15024401522320918
NFCorpus,0.17,0.5487480957295199,0.3339753630845202,0.1506992610895197
NFCorpus,0.18,0.5485416973807066,0.33399995280414324,0.15076245546869368
NFCorpus,0.19,0.5484986977247039,0.334256196556775,0.1508777581716389
NFCorpus,0.2,0.5500466853408029,0.33481040530059814,0.1511083960814156
NFCorpus,0.21,0.5495822890559733,0.3354552481560948,0.1511622895032705
NFCorpus,0.22,0.5513882746080888,0.33602033754441957,0.15150964254980617
NFCorpus,0.23,0.554109538552263,0.3367993524288921,0.1517164984678289
NFCorpus,0.24,0.5538945402722492,0.3369577155979236,0.1521402580445059
NFCorpus,0.25,0.5529092338689862,0.3366673346607246,0.1521168290956346
NFCorpus,0.26,0.5530124330433928,0.3368422683771101,0.15226048865988892
NFCorpus,0.27,0.5519804412993267,0.3373207262465433,0.15245953626743383
NFCorpus,0.28,0.5521868396481399,0.3380553055477395,0.15254551365487354
NFCorpus,0.29,0.552702835520173,0.33877471627400135,0.15256013818769013
NFCorpus,0.3,0.552749520860976,0.3384514471634748,0.15249569292694382
NFCorpus,0.31,0.5519755270529263,0.3381428316116366,0.15253914018196388
NFCorpus,0.32,0.5523404098481498,0.3388553685261688,0.15260816317447395
NFCorpus,0.33,0.5514669025504939,0.3389229832754736,0.15261511836393246
NFCorpus,0.34,0.5495061182367684,0.33897674882211903,0.1525832061185996
NFCorpus,0.35,0.5487321244287189,0.3402268780617693,0.1527539607745029
NFCorpus,0.36,0.5507666224384491,0.34086520948805954,0.15283137961623394
NFCorpus,0.37,0.5506781660032435,0.3408305406034833,0.15275909816461353
NFCorpus,0.38,0.5505528527200354,0.34110450128769954,0.15280477799373135
NFCorpus,0.39,0.5488942945599293,0.34127781936432644,0.15281607184894053
NFCorpus,0.4,0.5486756105951154,0.34125347288902613,0.15267182520612027
NFCorpus,0.41,0.5470244238046096,0.3411228088255,0.1525803824240758
NFCorpus,0.42,0.5454543220797091,0.34147478751184457,0.15255372062373188
NFCorpus,0.43,0.5469679099710059,0.3414222472516219,0.15266363519325324
NFCorpus,0.44,0.5466030271757826,0.34090195599548045,0.15234272595033005
NFCorpus,0.45,0.5461423165757531,0.34077191726399136,0.15233654188119292
NFCorpus,0.46,0.5460993169197503,0.3403336587153479,0.1522565494648163
NFCorpus,0.47,0.5463696004717676,0.33964614280233985,0.15215726405431299
NFCorpus,0.48,0.5452774092092978,0.3386196771859186,0.15064503667473622
NFCorpus,0.49,0.5419148361098826,0.3385502938697999,0.15053075188601597
NFCorpus,0.5,0.543497223450784,0.3393429228758538,0.15067034589917544
NFCorpus,0.51,0.544701213818861,0.33922797947653416,0.15055717715368122
NFCorpus,0.52,0.5431274264091602,0.3380701181379621,0.14949657967077132
NFCorpus,0.53,0.5426114305371272,0.33752295559490864,0.14922657767699105
NFCorpus,0.54,0.5432257113371666,0.33828222305720973,0.1495715878157441
NFCorpus,0.55,0.5452466951692959,0.3380143833134819,0.14967401743161746
NFCorpus,0.56,0.5453449800973021,0.33841945377458943,0.1496203311494142
NFCorpus,0.57,0.5452073811980933,0.338880800575662,0.14990160326092947
NFCorpus,0.58,0.5444641014300458,0.3384902893472195,0.14986035703498268
NFCorpus,0.59,0.5450439825052829,0.3383912732172158,0.14971968765927893
NFCorpus,0.6,0.5449923829180796,0.3379960298937436,0.14966264695060894
NFCorpus,0.61,0.5447564990908644,0.33780019788451515,0.14964436370515136
NFCorpus,0.62,0.5445980146444543,0.3377909461759521,0.14968803828168273
NFCorpus,0.63,0.5461460022605534,0.3376822554608577,0.15005274796055615
NFCorpus,0.64,0.5459310039805397,0.33749912683998046,0.1499524925370255
NFCorpus,0.65,0.5454236080397072,0.3364195378081619,0.1499236099668899
NFCorpus,0.66,0.5452688092780974,0.33624838623895387,0.14978984422965783
NFCorpus,0.67,0.5421175487738957,0.3352894905920413,0.1496327137764339
NFCorpus,0.68,0.5422895473979067,0.3352526883422732,0.14959304508446225
NFCorpus,0.69,0.5426065162907269,0.3344916735028812,0.14953293278101118
NFCorpus,0.7,0.5426065162907269,0.33460332036697243,0.1494831538730642
NFCorpus,0.71,0.5425942306747261,0.33445472857248343,0.1493269074946673
NFCorpus,0.72,0.5438289350828052,0.3345135021841,0.14924855707794393
NFCorpus,0.73,0.544138532606025,0.3349972051544505,0.14927626090372842
NFCorpus,0.74,0.5439198486412108,0.33498749210964507,0.14912838617425467
NFCorpus,0.75,0.543610251117991,0.33415926596586554,0.1489115320574969
